着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
3,6,パフォーマプロミス,ステイゴールド,アイルビーバウンド,牡,7,-8,北村友一,8,藤原英昭,芝,右,3200m,晴,良
4,2,エタリオウ,ステイゴールド,ホットチャチャ,牡,4,6,M.デムーロ,2,友道康夫,芝,右,3200m,晴,良
5,6,ユーキャンスマイル,キングカメハメハ,ムードインディゴ,牡,4,8,岩田康誠,3,友道康夫,芝,右,3200m,晴,良
6,1,チェスナットコート,ハーツクライ,ホワイトヴェール,牡,5,-4,坂井瑠星,10,矢作芳人,芝,右,3200m,晴,良
7,5,カフジプリンス,ハーツクライ,ギンザフローラル,牡,6,2,中谷雄太,9,矢作芳人,芝,右,3200m,晴,良
8,3,リッジマン,スウェプトオーヴァーボード,アドマイヤモンロー,牡,6,10,蛯名正義,11,庄野靖志,芝,右,3200m,晴,良
9,7,ケントオー,ダンスインザダーク,ポポチャン,牡,7,0,幸英明,13,西橋豊治,芝,右,3200m,晴,良
10,8,クリンチャー,ディープスカイ,ザフェイツ,牡,5,2,三浦皇成,4,宮本博,芝,右,3200m,晴,良
11,4,メイショウテッコン,マンハッタンカフェ,エーシンベロシティ,牡,4,-2,福永祐一,5,高橋義忠,芝,右,3200m,晴,良
12,8,ロードヴァンドール,ダイワメジャー,ジャズキャット,牡,6,2,横山典弘,7,昆貢,芝,右,3200m,晴,良
1,8,アドマイヤマーズ,ダイワメジャー,ヴィアメディチ,牡,3,2,M.デムーロ,2,友道康夫,芝,左,1600m,晴,良
2,8,ケイデンスコール,ロードカナロア,インダクティ,牡,3,-6,石橋脩,14,安田隆行,芝,左,1600m,晴,良
3,5,カテドラル,ハーツクライ,アビラ,牡,3,-4,B.アヴドゥラ,7,池添学,芝,左,1600m,晴,良
4,2,ダノンチェイサー,ディープインパクト,サミター,牡,3,0,川田将雅,3,池江泰寿,芝,左,1600m,晴,良
5,4,グランアレグリア,ディープインパクト,タピッツフライ,牝,3,-2,C.ルメール,1,藤沢和雄,芝,左,1600m,晴,良
6,4,ヴァルディゼール,ロードカナロア,ファーゴ,牡,3,-4,北村友一,8,渡辺薫彦,芝,左,1600m,晴,良
